DateID,ProductID,StoreID,CustomerID,QuantityOrderded,OrderAmount,DiscountAmount,Shipping Cost,TotalAmount
20240728,136,23,756,17,735,15.437732539819969,96.77325642671066,622.7890110334694
20240728,121,23,574,19,630,43.45160137079438,66.91754764336655,519.6308509858391
20240728,957,23,171,8,885,73.16741649798394,61.27784431306897,750.5547391889471
20240728,884,23,68,17,177,14.656776693588654,11.96599887478028,150.37722443163108
20240728,23,23,935,16,802,88.20780887660193,46.34555964338403,667.446631480014
20240728,187,23,653,14,547,70.60700279391817,69.07765637472576,407.3153408313561
20240728,589,23,709,18,981,146.74059309287108,67.62920896733996,766.630197939789
20240728,337,23,821,7,365,19.72328250789748,23.30039709204222,321.97632040006033
20240728,903,23,393,5,361,20.038372032787326,46.34360127628207,294.6180266909306
20240728,324,23,266,14,417,18.405686664361998,31.39003836224053,367.20427497339745
20240728,426,23,831,8,277,24.011738107535077,39.46957441674737,213.51868747571757
20240728,373,23,89,9,105,11.994024540284023,6.4416739359607185,86.56430152375526
20240728,445,23,361,16,508,71.24700235811908,32.638070346061085,404.1149272958198
20240728,676,23,751,13,228,10.239906106209155,16.055788931662676,201.70430496212816
20240728,431,23,510,20,446,65.85137334495161,37.43562680058529,342.7129998544631
20240728,896,23,486,16,524,20.05524237087167,66.65133037111143,437.2934272580169
20240728,962,23,381,14,285,24.186646933977922,16.78880634004279,244.0245467259793
20240728,540,23,314,12,347,18.815356225982,21.433961832883472,306.75068194113453
20240728,465,23,665,8,856,80.53411952780874,120.77923982224915,654.6866406499421
20240728,854,23,908,12,579,23.28859290037306,76.74426720075647,478.96713989887047
20240728,389,23,246,17,882,52.452941698937344,102.67232221697716,726.8747360840855
20240728,184,23,201,1,862,114.01247690637976,92.01740222752665,655.9701208660936
20240728,453,23,710,6,752,108.89836606070001,68.16286700451306,574.9387669347869
20240728,222,23,127,12,328,34.65315241521691,26.69355909888391,266.65328848589917
20240728,55,23,577,4,148,11.711980874682206,15.291857752324667,120.99616137299313
20240728,450,23,140,8,429,25.02979786614593,36.60835526791783,367.36184686593623
20240728,385,23,501,7,714,40.23640272841128,51.36218071893979,622.4014165526489
20240728,995,23,541,12,307,13.642081201877248,21.755294022224273,271.60262477589845
20240728,121,23,721,13,934,105.11680459020027,139.69249040905703,689.1907050007427
20240728,149,23,456,1,968,112.43784528727814,53.07014225977969,802.4920124529422
20240728,239,23,577,11,510,72.45474823356211,55.81173853282506,381.7335132336128
20240728,739,23,774,13,523,73.20523917010038,59.01444064279968,390.78032018709996
20240728,34,23,286,20,752,72.78296705573142,79.94732581334203,599.2697071309266
20240728,40,23,867,13,979,21.958207193142886,120.81010231935493,836.2316904875022
20240728,903,23,549,13,514,73.04459631602406,64.1141607620967,376.84124292187926
20240728,289,23,746,7,461,27.434560601787872,27.459554237280027,406.1058851609321
20240728,9,23,162,16,887,118.36304409578997,76.97347748716318,691.6634784170469
20240728,553,23,510,7,601,73.5580648058737,42.480280813223835,484.9616543809025
20240728,592,23,63,10,203,9.314203768949213,12.977891432464277,180.70790479858653
20240728,629,23,695,20,957,142.1049857330925,77.29281095434466,737.6022033125628
20240728,904,23,890,3,485,32.40045954637097,57.833390304616934,394.7661501490121
20240728,960,23,289,14,650,69.00843482197813,53.37762422311802,527.6139409549039
20240728,479,23,619,18,528,10.917203826541058,68.47958371415687,448.6032124593021
20240728,992,23,527,11,185,18.36253384709806,17.977665484842863,148.65980066805906
20240728,941,23,932,10,213,6.815873629184634,24.13595849605052,182.04816787476486
20240728,252,23,918,15,686,32.84862230194838,65.29828567270214,587.8530920253495
20240728,814,23,185,3,831,58.43245956308059,92.50807826902756,680.0594621678919
20240728,796,23,482,6,163,8.002504268625984,17.041939432501618,137.9555562988724
20240728,589,23,433,8,245,25.26610245843073,36.68112803120612,183.05276951036313
20240728,486,23,942,2,955,80.06699545764151,92.63434869382985,782.2986558485286
20240728,627,23,718,1,106,3.174258639960401,10.111435752476124,92.71430560756347
20240728,706,23,547,2,996,45.23680114034901,75.43787532868068,875.3253235309703
20240728,963,23,108,12,334,29.457041500276947,42.388710705389805,262.15424779433323
20240728,448,23,948,16,638,14.973232629382625,92.88872511346774,530.1380422571497
20240728,31,23,589,13,886,113.23528752472829,119.30376909568722,653.4609433795845
20240728,485,23,429,20,191,15.985523432835674,14.726569263200549,160.28790730396378
20240728,309,23,990,6,370,44.28286871073828,30.292595839290552,295.4245354499712
20240728,840,23,125,19,374,50.97875720152028,34.881250408814864,288.1399923896648
20240728,395,23,733,19,148,19.438546837638604,15.186370223049204,113.3750829393122
20240728,13,23,394,16,283,20.561350384192842,23.501581654365534,238.93706796144164
20240728,177,23,655,2,876,65.734268427551,113.67164434699366,696.5940872254553
20240728,588,23,709,8,781,100.60932017461097,44.882409255410714,635.5082705699783
20240728,853,23,350,10,668,46.136893718895905,67.53632559453055,554.3267806865736
20240728,629,23,533,19,659,87.17842432360803,98.06189426351311,473.7596814128789
20240728,303,23,960,11,638,25.70047295268444,72.38705081223206,539.9124762350835
20240728,151,23,650,15,610,74.1503826104035,54.281766686902856,481.56785070269365
20240728,68,23,358,14,663,32.955464746000416,70.84209835392508,559.2024369000745
20240728,866,23,64,3,742,60.7848951543223,84.53430173531419,596.6808031103635
20240728,817,23,309,16,699,68.50313603698073,55.437846046479876,575.0590179165393
20240728,954,23,595,19,144,18.134536009181506,15.035817858379977,110.82964613243851
20240728,148,23,885,5,846,107.38363319111512,126.1856990915665,612.4306677173183
20240728,475,23,587,16,879,47.33088534950701,100.98132277091312,730.6877918795799
20240728,246,23,281,16,904,32.85870694528042,107.35252319424231,763.7887698604773
20240728,210,23,33,5,113,9.772630277518752,6.475423632865044,96.75194608961621
20240728,271,23,514,18,362,15.758021353403562,48.42451617082225,297.81746247577416
20240728,999,23,847,14,790,115.779676859188,52.1236931371669,622.096630003645
20240728,890,23,184,19,369,49.575388688488694,49.614159146419944,269.81045216509136
20240728,261,23,768,6,522,56.92488583935212,77.82899855627787,387.24611560437
20240728,491,23,652,1,879,81.34246490436641,99.07205403908694,698.5854810565467
20240728,846,23,537,14,592,59.564505934962845,51.23915979122437,481.1963342738128
20240728,369,23,998,5,489,32.10900466386826,34.6936530895237,422.19734224660806
20240728,953,23,819,9,446,53.13678342920643,44.675239503704354,348.1879770670892
20240728,623,23,336,3,512,65.93160591686195,42.6875491907943,403.38084489234376
20240728,490,23,714,17,327,43.27800142893417,36.98676069999728,246.73523787106853
20240728,63,23,885,9,909,134.37492355530648,47.00098973845816,727.6240867062354
20240728,735,23,812,11,196,22.00992716078985,20.948352447290013,153.04172039192014
20240728,528,23,437,15,383,32.915670139572924,25.973188783340174,324.1111410770869
20240728,435,23,711,18,521,37.98910205470285,56.453206969678774,426.55769097561836
20240728,945,23,466,18,249,15.870776267338167,16.41683313389135,216.71239059877047
20240728,930,23,668,20,617,54.53186604923681,55.587791899429156,506.880342051334
20240728,785,23,345,10,934,123.77127309572134,88.30027827351822,721.9284486307604
20240728,199,23,378,9,336,47.17352186418327,35.86066320832515,252.96581492749158
20240728,194,23,352,11,143,8.41739145171857,8.182112539230577,126.40049600905085
20240728,282,23,338,12,508,13.234425208487634,50.7769125829231,443.9886622085893
20240728,391,23,159,12,870,56.61219836040494,80.71725661087285,732.6705450287222
20240728,821,23,491,16,843,120.64711634223464,112.15766590847845,610.1952177492869
20240728,965,23,806,6,550,51.55814051455683,69.41339831923818,429.028461166205
